time,bnds,lat,plev,time_bnds,aps,tm1,O3
2019-07-01 08:00:00,0,87.8638,3161.09,2018-02-14 00:24:00,101817.39,214.91437,3.9579545e-06
2019-07-01 08:00:00,0,87.8638,3436.18,2018-02-14 00:24:00,101817.39,215.04121,3.9087236e-06
2019-07-01 08:00:00,0,87.8638,3736.44,2018-02-14 00:24:00,101817.39,215.19815,3.8332237e-06
2019-07-01 08:00:00,0,87.8638,4063.97,2018-02-14 00:24:00,101817.39,215.40546,3.722133e-06
2019-07-01 08:00:00,0,87.8638,4421.67,2018-02-14 00:24:00,101817.39,215.63342,3.5807186e-06
2019-07-01 08:00:00,0,87.8638,4813.4,2018-02-14 00:24:00,101817.39,215.87286,3.4049049e-06
2019-07-01 08:00:00,0,87.8638,5242.99,2018-02-14 00:24:00,101817.39,216.13867,3.1963657e-06
2019-07-01 08:00:00,0,87.8638,5714.27,2018-02-14 00:24:00,101817.39,216.39804,2.9628884e-06
2019-07-01 08:00:00,0,87.8638,6232.16,2018-02-14 00:24:00,101817.39,216.6622,2.710181e-06
2019-07-01 08:00:00,0,87.8638,6801.72,2018-02-14 00:24:00,101817.39,216.93146,2.4376463e-06
2019-07-01 08:00:00,0,87.8638,7426.77,2018-02-14 00:24:00,101817.39,217.04953,2.1620915e-06
2019-07-01 08:00:00,0,87.8638,8111.52,2018-02-14 00:24:00,101817.39,217.2862,1.8853616e-06
2019-07-01 08:00:00,0,87.8638,8863.41,2018-02-14 00:24:00,101817.39,217.65372,1.6136792e-06
2019-07-01 08:00:00,0,87.8638,9692.32,2018-02-14 00:24:00,101817.39,217.36963,1.3664146e-06
2019-07-01 08:00:00,0,87.8638,10608.0,2018-02-14 00:24:00,101817.39,217.54019,1.1533161e-06
2019-07-01 08:00:00,0,87.8638,11620.7,2018-02-14 00:24:00,101817.39,217.56816,9.783084e-07
2019-07-01 08:00:00,0,87.8638,12742.8,2018-02-14 00:24:00,101817.39,217.40355,8.3810033e-07
2019-07-01 08:00:00,0,87.8638,13987.3,2018-02-14 00:24:00,101817.39,216.69446,7.226497e-07
2019-07-01 08:00:00,0,87.8638,15366.5,2018-02-14 00:24:00,101817.39,214.86996,6.181613e-07
2019-07-01 08:00:00,0,87.8638,16892.3,2018-02-14 00:24:00,101817.39,212.39102,5.090097e-07
2019-07-01 08:00:00,0,87.8638,18576.8,2018-02-14 00:24:00,101817.39,210.37505,3.930442e-07
2019-07-01 08:00:00,0,87.8638,20436.8,2018-02-14 00:24:00,101817.39,209.7467,2.873183e-07
2019-07-01 08:00:00,0,87.8638,22489.8,2018-02-14 00:24:00,101817.39,210.24997,2.0718362e-07
2019-07-01 08:00:00,0,87.8638,24754.8,2018-02-14 00:24:00,101817.39,211.7089,1.5319618e-07
2019-07-01 08:00:00,0,87.8638,27251.3,2018-02-14 00:24:00,101817.39,213.93497,1.1846028e-07
2019-07-01 08:00:00,0,87.8638,30000.3,2018-02-14 00:24:00,101817.39,216.90877,9.5655814e-08
2019-07-01 08:00:00,0,87.8638,33029.9,2018-02-14 00:24:00,101817.39,220.38165,8.0946144e-08
2019-07-01 08:00:00,0,87.8638,36370.4,2018-02-14 00:24:00,101817.39,224.41425,7.108138e-08
2019-07-01 08:00:00,0,87.8638,40053.1,2018-02-14 00:24:00,101817.39,228.71622,6.741004e-08
2019-07-01 08:00:00,0,87.8638,44112.7,2018-02-14 00:24:00,101817.39,233.33957,6.3932816e-08
2019-07-01 08:00:00,0,87.8638,48581.4,2018-02-14 00:24:00,101817.39,238.00473,6.138929e-08
2019-07-01 08:00:00,0,87.8638,53499.8,2018-02-14 00:24:00,101817.39,242.76111,5.9046922e-08
